tp_atr_mult,sl_atr_mult,model_threshold,entry_type_filter,cooldown_minutes,per_trade_risk_pct,trades,win_rate,net_profit,profit_factor,max_drawdown,score
6.0,0.8,0.48,ob_only,30,0.025,16,31.25,578.8256033993327,2.738505069217843,12.868313712158402,495.34901534442173
6.0,0.8,0.48,ob_only,30,0.02,16,31.25,463.0604827194662,2.7385050692178434,10.230099860808618,396.2792122755374
5.5,0.8,0.48,ob_only,30,0.025,16,31.25,500.7006033993328,2.5038563119151345,12.868313712158402,391.77573943785495
3.0,1.2,0.42,ob_only,30,0.03,20,50.0,366.04503725099556,2.0670786568381576,10.745563265452056,378.32194197153063
3.0,1.2,0.42,ob_only,15,0.03,20,50.0,366.04503725099556,2.0670786568381576,10.745563265452056,378.32194197153063
