,entry_time,entry_price,bias,entry_type,tp,sl,atr,target,pnl_r,rsi,adx,vol_spike,rolling_vol,hour,dayofweek,dist_to_range_low,dist_to_range_high,session_label,session_code,in_killzone,daily_trend_label,daily_trend,displacement_factor,liquidity_sweep,liquidity_sweep_dir,atr_ratio,volume_zscore,vol_regime,vol_regime_code,premium_pct,discount_pct,body_factor,impulse_factor,exit_time,holding_minutes,wfa_prob,prob,net_pnl,equity_after,units,risk_pct_used
0,2024-02-01 09:35:00,2042.02,bull,fvg,2044.3609172563445,2039.6790827436555,1.1704586281722118,0,-1.0,38.86694448685366,18.791407411615296,1.6243654822335023,0.00035210045321479186,9,3,0.017301934448933645,0.006833424932030612,london,2,True,range,0,1.4011601610909767,0,0,1.0679985489064825,2.4255833231741377,normal,0,0.31016810168101777,0.6898318983189822,1.4011601610909767,1.5805770109865984,2024-02-01 10:05:00,30.0,0.8275375514773952,0.8275375514773952,-70.25239142261603,5929.747608577384,25.63097855654005,0.01
1,2024-02-01 10:45:00,2040.77,bull,fvg,2043.4575935098617,2038.0824064901383,1.3437967549308534,0,-1.0,42.14796881496644,17.182284462776142,0.9754125647976412,0.0005083345550936579,10,3,0.016679204300325323,0.007441380886837598,london,2,True,range,0,1.0641490201199704,0,0,1.2644618930981972,1.009093744449297,normal,0,0.31016810168101777,0.6898318983189822,1.0641490201199704,1.1906562462879582,2024-02-01 12:25:00,100.0,0.7305138763178273,0.7305138763178273,-68.92992184716022,5860.817686730224,22.324804617900547,0.01
2,2024-02-01 13:50:00,2034.07,bull,fvg,2037.371334970581,2030.7686650294188,1.6506674852905572,0,-1.0,45.26054290668385,45.48891379760797,1.103035308692959,0.0005641859845335989,13,3,0.013341370703784692,0.010700024804603065,new_york,3,True,range,0,0.9693048504667616,0,0,1.4339334178387728,0.9675718433173764,normal,0,0.330873308733088,0.6691266912669119,0.9693048504667616,1.4781898969619287,2024-02-01 14:20:00,30.0,0.8386764343372392,0.8386764343372392,-67.26978637850107,5793.547900351723,18.174465946252685,0.01
3,2024-02-05 01:05:00,2039.95,bear,fvg,2037.738351235452,2042.161648764548,1.1058243822739964,1,1.0,61.78899782691863,22.633808195323514,1.721433114267543,0.00039565019057668165,1,0,0.01516817867397872,0.01238901207432435,asia,1,True,bear,-1,1.672960037465989,0,0,0.58799272483523,-0.22953557373555178,low,1,0.491706795077581,0.508293204922419,1.672960037465989,2.215541671238892,2024-02-05 02:00:00,55.0,0.5940653729033103,0.5940653729033103,17.201928563590627,5810.749828915314,9.495178591023423,0.0034999999999999996
4,2024-02-05 02:10:00,2037.6,bear,fvg,2034.8667164806013,2040.3332835193985,1.3666417596992593,1,1.0,42.74083018747414,30.368640855581777,1.5103448275862068,0.0004923939561801853,2,0,0.013998716079364152,0.01352672908779305,asia,1,True,bear,-1,1.148801424263265,0,0,0.827142455385067,0.3877809717872266,normal,0,0.491706795077581,0.508293204922419,1.148801424263265,1.3463660004102502,2024-02-05 02:25:00,15.0,0.762539571389818,0.762539571389818,51.21935217123732,5861.969181086551,21.951619571906715,0.01
5,2024-02-05 03:10:00,2034.81,bear,fvg,2032.2293252088245,2037.3906747911753,1.2903373955876594,0,-1.0,38.39366859836265,33.42744211308985,0.7749935417204856,0.0003802799550452847,3,0,0.012610290275545253,0.01487746545697494,off,0,False,bear,-1,1.170236563834756,0,0,0.8824627630645661,-0.11762186849164175,normal,0,0.491706795077581,0.508293204922419,1.170236563834756,1.2942351401350156,2024-02-05 03:35:00,25.0,0.7783283413956733,0.7783283413956733,-69.29989322252763,5792.669287864023,23.24973305631909,0.01
6,2024-02-05 04:50:00,2032.85,bear,fvg,2030.4701771961493,2035.2298228038505,1.1899114019253025,1,1.0,29.207741417156612,18.89063538876803,1.839523154516277,0.0003458284979710929,4,0,0.011634908707271012,0.015826369859697733,off,0,False,bear,-1,1.672393420871626,0,0,0.9449593061220863,1.1774090821242684,normal,0,0.6388443017656497,0.36115569823435034,1.672393420871626,1.7312213301486548,2024-02-05 05:20:00,30.0,0.8360888404671224,0.8360888404671224,49.91521555253306,5842.584503416557,25.211961118667357,0.01
7,2024-02-05 05:50:00,2032.34,bear,fvg,2029.8113423281577,2034.8686576718421,1.2643288359211204,1,1.0,41.651224773096864,34.66002165360775,0.8079748163693599,0.0003907462113889799,5,0,0.011381110442056806,0.01607327865836539,off,0,False,bear,-1,0.9728481745050984,0,0,1.0426344938878525,-0.501234453927793,normal,0,0.6388443017656497,0.36115569823435034,0.9728481745050984,1.2180375518193447,2024-02-05 07:05:00,75.0,0.9591452737486882,0.9591452737486882,50.508798297511255,5893.093301714068,23.72800425622184,0.01
8,2024-02-05 07:00:00,2030.25,bear,fvg,2028.091979150982,2032.408020849018,1.0790104245090109,1,1.0,32.37802836318025,29.496172129053168,1.512662559890486,0.00029973587791697927,7,0,0.010341035198335865,0.01708512059800341,london,2,True,bear,-1,1.4921079198400782,0,0,0.9222712334682978,0.5612856797943023,normal,0,0.6388443017656497,0.36115569823435034,1.4921079198400782,1.8906212152013875,2024-02-05 08:35:00,95.0,0.6050814129799783,0.6050814129799783,48.87869873411006,5941.972000448178,27.80325316472486,0.01
9,2024-02-05 08:30:00,2029.59,bear,fvg,2027.2775566328285,2031.9024433671714,1.1562216835857377,1,1.0,41.070509151881,31.613830254866706,1.9491265706405148,0.00031830620545283863,8,0,0.0100125903845292,0.017404649631573364,london,2,True,bear,-1,0.9513746503946859,0,0,0.9852879535150793,2.9380197110412887,normal,0,0.7649366862849994,0.2350633137150005,0.9513746503946859,1.4357108360500552,2024-02-05 08:35:00,5.0,0.931451612567587,0.931451612567587,49.62136745024098,5991.593367898418,25.946581374397546,0.01
