rsi_oversold,rsi_overbought,volume_threshold,use_volume_filter,total_trades,win_rate,profit_factor,total_return,sharpe,avg_win,avg_loss
25,75,1.5,True,255,0.3568627450980392,0.5104297007118535,-0.507651601818363,-3.971620442325197,0.0058162791607524085,0.006322762228334341
30,70,1.2,True,394,0.35279187817258884,0.5098362786118114,-0.7392358725714965,-3.973227385023347,0.005531689621458979,0.005914277372369782
35,70,1.5,True,449,0.3585746102449889,0.4993806615988162,-0.8371603601422115,-4.038529257485448,0.005186888097343192,0.005806421332689115
30,65,1.0,True,482,0.35684647302904565,0.5044526892816787,-0.8912221166827876,-4.044416042385586,0.005274640032647588,0.005801484523542492
30,65,1.2,True,463,0.35205183585313177,0.5065318566377934,-0.8660604568693376,-4.050089167289522,0.005453913530426938,0.0058501612077630945
35,65,1.2,True,521,0.3723608445297505,0.5030170248744572,-0.9428866979788058,-4.0904775319566475,0.004919250648615349,0.0058019000728140166
25,65,1.2,True,415,0.3566265060240964,0.5022974940389472,-0.7772506446173134,-4.095070743183609,0.0053001792745153795,0.005848978191931046
35,65,1.0,True,539,0.37662337662337664,0.499558794925834,-0.9877048388248928,-4.127721584200726,0.004856961842710753,0.005874012181235641
25,75,1.0,True,287,0.34146341463414637,0.4937540894042343,-0.5864512031230562,-4.179276223611047,0.005836533511446471,0.006129267128279419
25,75,1.2,True,270,0.34814814814814815,0.49094927946605227,-0.5580884067089136,-4.256713799846449,0.0057259917478653995,0.0062291569943651185
25,65,1.5,True,397,0.35768261964735515,0.48442895150536275,-0.7704537913833116,-4.31814146660355,0.005097999879814725,0.005860273624772558
30,75,1.2,True,335,0.34328358208955223,0.483832859888896,-0.6985786806184395,-4.326625589038082,0.005694065969276648,0.006151801214023881
30,70,1.5,True,376,0.34574468085106386,0.4785165733537625,-0.7798292412096881,-4.328976277849979,0.005504433598421892,0.006078884589449325
30,75,1.0,True,354,0.3361581920903955,0.47426232950300556,-0.7414027202842015,-4.375049513728096,0.005620264405548047,0.006000911423593273
30,75,1.5,True,316,0.3449367088607595,0.47477702435412367,-0.6855711028030402,-4.414049083024755,0.00568554346456706,0.00630577459150169
35,65,1.5,True,501,0.3592814371257485,0.4662318276774071,-0.9926417498226109,-4.522122959138042,0.0048169182515958205,0.005793417554859372
30,65,1.5,True,443,0.34988713318284426,0.4607677454419685,-0.931272458645984,-4.633911794569445,0.005133945680870471,0.00599664596937815
