total_trades,win_rate,profit_factor,total_return,sharpe,avg_win,avg_loss,symbol,fast_ema,slow_ema,breakout_period,use_volume,volume_threshold,take_profit,stop_loss,trailing_stop
68,0.4117647058823529,1.7529272821950914,0.8759841065083805,3.8194979801657376,0.05740045954957685,0.022921841706056545,ETH/USD,20,50,30,True,1.2,0.06,0.02,0.035
86,0.43023255813953487,1.6226063444042185,0.8696668999586978,3.36555507943245,0.04841797419103176,0.022531966086490586,ETH/USD,12,26,15,True,1.5,0.05,0.02,0.03
91,0.43956043956043955,1.5627419326159206,0.8689145118700763,3.1529952981550613,0.04807334291454902,0.024127197134182498,ETH/USD,5,13,20,True,1.5,0.05,0.02,0.03
85,0.4,1.5637950754915033,0.8467923113554611,3.045835516473334,0.056201366909632094,0.02395939118044518,ETH/USD,12,26,15,True,1.2,0.06,0.02,0.035
90,0.4,1.5223182845418017,0.8426955257904195,2.854321521156882,0.05610162610020283,0.02456850479074363,ETH/USD,9,21,15,True,1.2,0.06,0.02,0.035
84,0.40476190476190477,1.5635655826035817,0.8375445827172036,3.058794671589407,0.055724425353886387,0.02423474247722031,ETH/USD,12,26,20,True,1.2,0.06,0.02,0.035
86,0.4186046511627907,1.5060570131808035,0.8266738194380207,2.693771380920548,0.05779978647346484,0.027632317964511658,ETH/USD,5,13,15,False,1.0,0.08,0.025,0.04
94,0.43617021276595747,1.5238667667042038,0.816628110907213,2.958270402088389,0.04715786736716155,0.023939503882790213,ETH/USD,9,21,15,True,1.5,0.05,0.02,0.03
91,0.37362637362637363,1.5116266858026348,0.811377013835304,2.788882370984979,0.05858433002148858,0.023117505987684556,ETH/USD,12,26,30,False,1.0,0.06,0.02,0.035
96,0.4375,1.5029619034114619,0.8093525329663164,2.8771361796361075,0.04713623850653929,0.024392846388989753,ETH/USD,5,13,15,True,1.5,0.05,0.02,0.03
93,0.3870967741935484,1.478850223377208,0.8003021897481445,2.6716286959159468,0.05771500970508465,0.02464859828309869,ETH/USD,5,13,15,True,1.2,0.06,0.02,0.035
90,0.4,1.492289852383188,0.78640580836076,2.730926049023231,0.05569052352206035,0.024879225454814757,ETH/USD,9,21,20,True,1.2,0.06,0.02,0.035
60,0.5,1.8095413572613983,0.7808188413849948,3.627962770938835,0.04787993163194875,0.026459705626408755,ETH/USD,5,13,30,True,1.5,0.08,0.025,0.04
