tp_atr_mult,sl_atr_mult,model_threshold,entry_type_filter,cooldown_minutes,per_trade_risk_pct,trades,win_rate,net_profit,profit_factor,max_drawdown,score
2.0,1.5,0.65,ob_only,60,0.01,6,83.33333333333334,50.46740585090994,5.448776079600137,1.1207560754747006,229.15466149992508
2.0,1.5,0.65,ob_only,90,0.01,6,83.33333333333334,50.46740585090994,5.448776079600137,1.1207560754747006,229.15466149992508
2.0,2.5,0.6,ob_only,60,0.01,8,87.5,40.59100219573436,4.756177262043625,1.0728041837285955,168.92575147605032
2.0,2.5,0.6,ob_only,90,0.01,8,87.5,40.59100219573436,4.756177262043625,1.0728041837285955,168.92575147605032
2.0,1.5,0.65,ob_only,60,0.007,6,83.33333333333334,35.327184095636966,5.448776079600136,0.7873725407896487,160.40826304994758
