,time,equity,withdrawn
0,2021-02-03 14:25:00,5957.757122794922,0
1,2021-02-03 15:20:00,5988.560605916422,0
2,2021-02-03 16:40:00,6020.612410876253,0
3,2021-02-03 20:30:00,6051.725864781037,0
4,2021-02-04 02:35:00,6068.512912087474,0
5,2021-02-04 03:40:00,6095.636097669852,0
6,2021-02-04 09:30:00,6054.998362948237,0
7,2021-02-04 11:00:00,6087.1384625852725,0
8,2021-02-04 15:05:00,6046.2650849886595,0
9,2021-02-04 15:30:00,6078.361782548051,0
10,2021-02-05 04:35:00,6108.927105413354,0
11,2021-02-05 09:05:00,6065.08045184574,0
12,2021-02-05 13:55:00,6095.717315863831,0
13,2021-02-05 15:00:00,6126.619720000313,0
14,2021-02-05 15:55:00,6159.436842708401,0
15,2021-02-08 14:50:00,6118.321311784862,0
16,2021-02-08 19:00:00,6078.506477646765,0
17,2021-02-08 21:00:00,6109.874106532677,0
18,2021-02-15 01:25:00,6129.088000240876,0
19,2021-02-15 02:25:00,6099.064687045857,0
20,2021-02-15 03:25:00,6068.710331139437,0
21,2021-02-15 05:45:00,6023.975959337374,0
22,2021-02-15 06:20:00,6050.096304195225,0
23,2021-02-15 07:50:00,6004.578197695145,0
24,2021-02-15 08:25:00,6031.253657973595,0
25,2021-02-15 12:30:00,6060.609423079725,0
26,2021-02-15 14:15:00,6016.860365855803,0
27,2021-02-15 15:50:00,6046.092395853384,0
28,2021-02-15 19:30:00,6075.023314155927,0
29,2021-02-16 02:20:00,6030.822905856,0
30,2021-02-16 03:20:00,5986.034348574416,0
31,2021-02-16 07:25:00,6015.244204111388,0
32,2021-02-16 07:10:00,6041.562485334523,0
33,2021-02-18 04:55:00,5999.855876317275,0
34,2021-02-18 09:30:00,6029.852474354765,0
35,2021-02-18 14:15:00,6060.502865064359,0
36,2021-02-18 15:25:00,6092.63184126231,0
37,2021-02-18 20:10:00,6125.337543174675,0
38,2021-02-19 01:40:00,6144.326346723215,0
39,2021-02-19 07:50:00,6105.025200928888,0
40,2021-02-19 07:10:00,6062.589343737994,0
41,2021-02-19 08:10:00,6021.081570618746,0
42,2021-02-19 10:35:00,5980.927387496645,0
43,2021-02-19 14:55:00,5939.683675462091,0
44,2021-02-19 17:05:00,5973.56197802116,0
45,2021-02-19 23:40:00,5943.562334131387,0
46,2021-02-25 07:10:00,5973.244418384163,0
47,2021-02-25 07:55:00,5930.218831203378,0
48,2021-02-25 17:00:00,5963.970841279963,0
49,2021-02-25 19:25:00,5997.454959354509,0
50,2021-02-25 22:20:00,6031.6155900095,0
51,2021-02-26 02:05:00,6064.669380785733,0
52,2021-02-26 03:05:00,6096.966902082888,0
53,2021-02-26 07:30:00,6118.074318258636,0
54,2021-02-26 10:35:00,6078.955718539582,0
