entry_time,exit_time,side,entry_price,exit_price,pnl_pct,pnl_dollars,capital,bars_held,max_profit,exit_reason
2022-01-02 15:00:00+00:00,2022-01-03 20:00:00+00:00,LONG,3780.866022,3699.8698780000004,-0.022422643259163794,-224.22643259163794,9775.773567408361,29,0.01553717525513523,SL
2022-01-04 11:00:00+00:00,2022-01-05 18:00:00+00:00,LONG,3837.0272520000003,3746.0306440000004,-0.02471539267868612,-241.6120824564179,9534.161484951943,31,0.01071473964084307,SL
2022-01-05 19:00:00+00:00,2022-01-06 08:00:00+00:00,SHORT,3650.2797980000005,3405.350934,0.06609865477550453,630.1952485677501,10164.356733519693,13,0.06728519773595733,TP
2022-01-07 03:00:00+00:00,2022-01-08 17:00:00+00:00,SHORT,3235.872696,3038.837646,0.059890853414463235,608.7519991795402,10773.108732699233,38,0.061078637686925834,TP
2022-01-08 18:00:00+00:00,2022-01-08 21:00:00+00:00,SHORT,3008.0482700000002,3080.886054,-0.02521430025788776,-271.6363982971511,10501.472334402082,3,0.0,SL
2022-01-09 19:00:00+00:00,2022-01-10 00:00:00+00:00,LONG,3203.870646,3136.3726,-0.02206765642497781,-231.74288343199484,10269.729450970088,5,0.0,SL
2022-01-10 12:00:00+00:00,2022-01-11 02:00:00+00:00,SHORT,3033.5631660000004,3117.1433039999997,-0.028551804075405675,-293.2193031915214,9976.510147778567,14,0.007915828577145963,SL
2022-01-11 16:00:00+00:00,2022-01-13 18:00:00+00:00,LONG,3220.6840079999997,3271.735522,0.01485114027740415,148.1625516836055,10124.672699462171,50,0.052155378044774686,Trail
2022-01-14 11:00:00+00:00,2022-01-14 14:00:00+00:00,SHORT,3203.879096,3279.085686,-0.02447360426112652,-247.78723292006873,9876.885466542102,3,0.0,SL
2022-01-15 14:00:00+00:00,2022-01-17 03:00:00+00:00,LONG,3340.848036,3258.238222,-0.025727198935665663,-254.10459726251364,9622.780869279588,37,0.009474230392681093,SL
2022-01-17 21:00:00+00:00,2022-01-18 00:00:00+00:00,SHORT,3166.11665,3230.6459999999997,-0.02138122947870534,-205.74688598936254,9417.033983290225,3,0.0,SL
2022-01-19 07:00:00+00:00,2022-01-19 13:00:00+00:00,SHORT,3060.3878,3125.5949939999996,-0.022306840263838335,-210.06427282439228,9206.969710465832,6,0.0,SL
2022-01-20 13:00:00+00:00,2022-01-20 21:00:00+00:00,LONG,3182.6364,3079.9338900000002,-0.033269633439748134,-306.31250735806225,8900.65720310777,8,0.02529148475773112,SL
2022-01-20 22:00:00+00:00,2022-01-21 03:00:00+00:00,SHORT,3058.548168,2837.147316,0.07138756424253893,635.3962378876729,9536.053440995443,5,0.07257304963261245,TP
2022-01-21 12:00:00+00:00,2022-01-21 22:00:00+00:00,SHORT,2776.054678,2545.428984,0.08207678369150619,782.6885955472262,10318.74203654267,10,0.08326013166517317,TP
2022-01-22 09:00:00+00:00,2022-01-22 10:00:00+00:00,SHORT,2389.7119620000003,2450.7500520000003,-0.026542028064719544,-273.88034072651686,10044.861695816153,1,0.0,SL
2022-01-23 23:00:00+00:00,2022-01-24 00:00:00+00:00,LONG,2543.528604,2491.0416920000002,-0.021635471493207492,-217.32531887304225,9827.536376943111,1,0.0,SL
2022-01-24 09:00:00+00:00,2022-01-24 12:00:00+00:00,SHORT,2337.342438,2189.217756,0.06237311965582003,612.9741023609968,10440.510479304108,3,0.06356040757430509,TP
2022-01-25 17:00:00+00:00,2022-01-25 21:00:00+00:00,LONG,2483.206542,2413.0272980000004,-0.02926154120207673,-305.505427560871,10135.005051743237,4,0.006923893646862095,SL
