tp_atr_mult,sl_atr_mult,model_threshold,entry_type_filter,cooldown_minutes,per_trade_risk_pct,trades,win_rate,net_profit,profit_factor,max_drawdown,score
3.0,1.5,0.5,ob_only,45,0.015,14,64.28571428571429,170.9389217545727,3.0158987792801537,3.4494445516292425,331.4150263614096
3.0,1.2,0.42,ob_only,15,0.025,20,50.0,305.0375310424962,2.067078656838157,8.900484235072799,315.26828497627537
3.0,1.2,0.42,ob_only,30,0.025,20,50.0,305.0375310424962,2.067078656838157,8.900484235072799,315.26828497627537
6.0,0.8,0.48,ob_only,30,0.015,16,31.25,347.29536203959964,2.7385050692178434,7.624764918157561,297.20940920665305
3.0,0.8,0.42,ob_only,30,0.025,20,40.0,345.05629656374356,1.9499929298627288,9.50864185044019,269.1429354815668
