year,entry_time,exit_time,direction,pnl,win
2023,2023-01-03 12:00:00+00:00,2023-01-03 13:00:00+00:00,,-96.57064555644268,False
2023,2023-01-03 13:20:00+00:00,2023-01-03 14:10:00+00:00,,-93.75303636251529,False
2023,2023-01-04 10:45:00+00:00,2023-01-04 12:20:00+00:00,,-13.268757092197845,False
2023,2023-01-04 13:00:00+00:00,2023-01-04 14:35:00+00:00,,308.3791693215276,True
2023,2023-01-04 14:00:00+00:00,2023-01-04 14:30:00+00:00,,-97.19454134928756,False
2023,2023-01-04 15:10:00+00:00,2023-01-04 16:30:00+00:00,,312.0857259736564,True
2023,2023-01-04 16:10:00+00:00,2023-01-04 19:00:00+00:00,,-93.15545704866564,False
2023,2023-01-04 19:25:00+00:00,2023-01-05 12:30:00+00:00,,312.3995295080714,True
2023,2023-01-05 00:00:00+00:00,2023-01-05 09:00:00+00:00,,-13.774637016178964,False
2023,2023-01-05 09:15:00+00:00,2023-01-05 10:00:00+00:00,,-13.468777848335417,False
2023,2023-01-05 11:10:00+00:00,2023-01-05 12:30:00+00:00,,-13.413708758192971,False
2023,2023-01-05 20:00:00+00:00,2023-01-06 13:20:00+00:00,,310.8828255982922,True
2023,2023-01-09 12:00:00+00:00,2023-01-09 12:30:00+00:00,,-13.797005519276162,False
2023,2023-01-09 13:00:00+00:00,2023-01-09 13:20:00+00:00,,-98.5847341393262,False
2023,2023-01-09 14:30:00+00:00,2023-01-09 14:40:00+00:00,,-96.98806819264787,False
2023,2023-01-09 20:00:00+00:00,2023-01-10 00:15:00+00:00,,310.43916769493944,True
2023,2023-01-09 21:15:00+00:00,2023-01-10 12:15:00+00:00,,310.16560687519626,True
2023,2023-01-09 22:15:00+00:00,2023-01-10 11:35:00+00:00,,40.890016811733794,True
2023,2023-01-10 12:15:00+00:00,2023-01-10 12:50:00+00:00,,-100.13713097783089,False
2023,2023-01-10 13:15:00+00:00,2023-01-10 14:00:00+00:00,,308.358855117631,True
2023,2023-01-10 15:40:00+00:00,2023-01-10 18:40:00+00:00,,312.23838801828384,True
2023,2023-01-10 17:30:00+00:00,2023-01-10 20:55:00+00:00,,311.20235223211625,True
2023,2023-01-10 18:30:00+00:00,2023-01-11 00:15:00+00:00,,310.3919925507634,True
2023,2023-01-11 00:40:00+00:00,2023-01-11 09:00:00+00:00,,-14.531665361786636,False
2023,2023-01-11 16:00:00+00:00,2023-01-11 18:00:00+00:00,,310.2359408623819,True
2023,2023-01-11 17:00:00+00:00,2023-01-11 19:35:00+00:00,,308.8620008175652,True
2023,2023-01-11 18:15:00+00:00,2023-01-11 20:15:00+00:00,,309.2535702947022,True
2023,2023-01-11 20:00:00+00:00,2023-01-11 20:40:00+00:00,,-97.31831146919536,False
2023,2023-01-12 00:35:00+00:00,2023-01-12 09:00:00+00:00,,38.75959933451264,True
2023,2023-01-12 09:05:00+00:00,2023-01-12 10:10:00+00:00,,-14.832780411738582,False
2023,2023-01-12 10:05:00+00:00,2023-01-12 11:30:00+00:00,,39.58213179333135,True
2023,2023-01-12 11:10:00+00:00,2023-01-12 12:05:00+00:00,,39.09955923724421,True
2023,2023-01-12 14:40:00+00:00,2023-01-12 17:25:00+00:00,,312.99368069373725,True
2023,2023-01-12 18:25:00+00:00,2023-01-13 11:50:00+00:00,,-93.50641027940155,False
2023,2023-01-12 20:15:00+00:00,2023-01-13 11:35:00+00:00,,-94.02190617598082,False
2023,2023-01-13 00:40:00+00:00,2023-01-13 09:00:00+00:00,,-14.467318006771674,False
2023,2023-01-13 13:00:00+00:00,2023-01-13 15:00:00+00:00,,310.85513504313224,True
2023,2023-01-13 14:00:00+00:00,2023-01-13 14:45:00+00:00,,309.7064900427476,True
2023,2023-01-13 15:00:00+00:00,2023-01-13 18:40:00+00:00,,311.24212967344425,True
2023,2023-01-13 16:10:00+00:00,2023-01-13 20:00:00+00:00,,311.1147796390526,True
2023,2023-01-13 17:10:00+00:00,2023-01-13 20:10:00+00:00,,310.40541605365854,True
2023,2023-01-13 18:15:00+00:00,2023-01-13 19:00:00+00:00,,309.0146695742842,True
2023,2023-01-13 20:00:00+00:00,2023-01-17 09:00:00+00:00,,-96.63558166681534,False
2023,2023-01-17 09:20:00+00:00,2023-01-17 10:55:00+00:00,,40.544752548791884,True
2023,2023-01-17 10:40:00+00:00,2023-01-17 12:25:00+00:00,,40.28390350395963,True
2023,2023-01-17 11:50:00+00:00,2023-01-17 12:25:00+00:00,,39.49576286838661,True
2023,2023-01-17 13:00:00+00:00,2023-01-17 13:30:00+00:00,,305.2678613808862,True
2023,2023-01-17 16:10:00+00:00,2023-01-17 23:30:00+00:00,,-94.22166574084487,False
2023,2023-01-17 17:25:00+00:00,2023-01-17 23:00:00+00:00,,-95.32097210708376,False
2023,2023-01-17 23:40:00+00:00,2023-01-18 09:00:00+00:00,,40.10423096153661,True
2023,2023-01-18 00:40:00+00:00,2023-01-18 09:00:00+00:00,,39.73347919088376,True
2023,2023-01-18 23:00:00+00:00,2023-01-19 00:05:00+00:00,,-14.244957207435272,False
2023,2023-01-20 13:00:00+00:00,2023-01-20 14:30:00+00:00,,307.2522512978243,True
2023,2023-01-20 22:40:00+00:00,2023-01-23 09:00:00+00:00,,307.8413070190369,True
2023,2023-01-23 09:40:00+00:00,2023-01-23 12:40:00+00:00,,-95.16183904785618,False
