tp_atr_mult,sl_atr_mult,model_threshold,entry_type_filter,cooldown_minutes,per_trade_risk_pct,trades,win_rate,net_profit,profit_factor,max_drawdown,score
1.5,2.0,0.9,ob_only,180,0.005,1,100.0,3.465793448925216,inf,0.0,100000.0
2.0,3.0,0.8,ob_only,120,0.005,4,100.0,12.404765125301147,inf,0.0,100000.0
1.5,3.0,0.85,ob_only,180,0.007,2,100.0,6.4070735774737155,inf,0.0,100000.0
1.5,3.0,0.9,ob_only,120,0.005,1,100.0,2.310528965950148,inf,0.0,100000.0
1.5,3.0,0.9,ob_only,180,0.005,1,100.0,2.310528965950148,inf,0.0,100000.0
