time,equity,withdrawn
2025-01-14 02:00:00,1119.7455423389956,0
2025-01-17 13:10:00,1063.6054382355942,0
2025-01-20 07:05:00,1005.926083369911,0
2025-01-23 06:05:00,1122.9262552406074,0
2025-01-23 16:20:00,1072.7340007220353,0
2025-01-24 05:40:00,1020.0152412517144,0
2025-02-03 11:05:00,968.2558416819792,0
2025-02-04 02:35:00,1089.7402844462133,0
2025-02-05 08:50:00,1035.0282870747578,0
2025-02-06 11:00:00,1160.6342026642953,0
2025-02-07 11:45:00,1106.7158492243893,0
2025-02-07 16:50:00,1058.059910183771,0
2025-02-10 12:45:00,1182.0162475708626,0
2025-02-12 19:25:00,1132.0918931327558,0
2025-02-13 07:30:00,1076.9619083850066,0
2025-02-20 02:45:00,1020.275968409455,0
2025-02-24 21:20:00,965.8014076919189,0
2025-02-24 22:30:00,1085.2862949923394,0
2025-02-25 20:15:00,1212.1083742282337,0
2025-02-26 17:10:00,1339.4915255141939,0
2025-03-17 12:20:00,1459.526889797691,0
2025-03-19 05:15:00,1580.0574038421926,0
2025-03-19 06:35:00,1699.8411509581586,0
2025-03-19 12:20:00,1647.3902742186544,0
2025-03-19 22:00:00,1773.0350303265022,0
2025-03-20 13:50:00,1722.206422529846,0
2025-05-08 04:10:00,1673.8059855603758,0
2025-05-08 05:30:00,1625.8332134090053,0
2025-05-27 02:30:00,1569.5957446724492,0
2025-06-12 16:00:00,1520.9719917145328,0
2025-06-13 06:25:00,1473.1507961752927,0
2025-06-13 16:55:00,1424.6646832452875,0
2025-09-01 07:40:00,1551.1650738528167,0
2025-09-02 03:40:00,1499.2209974252075,0
2025-09-02 05:10:00,1450.714931657435,0
2025-09-02 18:35:00,1578.5043932093486,0
2025-09-02 21:00:00,1528.109998213504,0
2025-09-04 03:25:00,1477.698923191034,0
2025-09-05 04:20:00,1426.773037315554,0
2025-09-08 03:50:00,1376.248180367801,0
2025-09-08 09:30:00,1500.9145994295607,0
2025-09-08 14:30:00,1449.2374063538152,0
2025-09-09 05:00:00,1575.225802722176,0
2025-09-17 19:30:00,1522.0974211933235,0
2025-09-22 20:25:00,1646.498729253369,0
2025-09-24 09:00:00,1595.1651257209203,0
2025-09-24 14:25:00,1543.8894278888602,0
2025-09-24 23:05:00,1669.8471267186792,0
2025-10-02 19:40:00,1798.7364952231842,0
2025-10-08 03:40:00,1748.262084928325,0
