,entry_time,entry_price,bias,entry_type,tp,sl,atr,target,pnl_r,rsi,adx,vol_spike,rolling_vol,hour,dayofweek,dist_to_range_low,dist_to_range_high,session_label,session_code,in_killzone,daily_trend_label,daily_trend,displacement_factor,liquidity_sweep,liquidity_sweep_dir,atr_ratio,volume_zscore,vol_regime,vol_regime_code,premium_pct,discount_pct,body_factor,impulse_factor,exit_time,holding_minutes,wfa_prob,wfa_threshold,fold_id,filter_profile,entry_filter,prob,net_pnl,equity_after,units,risk_pct_used
0,2023-04-03 16:30:00,1973.18,bull,fvg,1977.2226750426241,1969.137324957376,2.0213375213120752,1,1.0,40.717610561608446,36.917607837924145,1.5891109025077108,0.0007764865079369181,16,0,0.020116116157516833,0.015049941846824968,new_york,3,True,bull,1,2.463715212077713,0,0,1.3812792294016663,2.9960012331291046,normal,0,0.23660584998551884,0.7633941500144812,2.463715212077713,2.8594927561865586,2023-04-03 16:40:00,10.0,0.7823291814822623,0.7,4,baseline,both,0.7823291814822623,32.43800210302011,6032.43800210302,8.904994742449713,0.006
1,2023-04-03 20:00:00,1984.53,bull,fvg,1988.131007907889,1980.928992092111,1.8005039539445302,0,-1.0,39.06036274187926,19.054460491868156,0.9573067519277787,0.0005255320583916383,20,0,0.025983962942091845,0.009384375015599005,off,0,False,bull,1,1.366284142065163,0,0,0.9354341754223784,-0.9154321360768277,normal,0,0.27483347813495557,0.7251665218650444,1.366284142065163,1.3773921432201541,2023-04-04 04:20:00,500.0,0.7912357979100185,0.7,4,baseline,both,0.7912357979100185,-39.998880415800514,5992.43912168722,9.997201039501295,0.006
2,2023-04-03 21:10:00,1985.06,bull,fvg,1988.135904834137,1981.984095165863,1.5379524170684842,0,-1.0,48.60598989571129,23.610315203606394,0.8267159795496574,0.0005238289535742722,21,0,0.02625796812234071,0.009119815507180535,off,0,False,bull,1,1.0078335212440672,0,0,0.7781784457149573,-0.9285025339021523,normal,0,0.27483347813495557,0.7251665218650444,1.0078335212440672,1.2289066807428668,2023-04-04 04:05:00,415.0,0.806698178708454,0.7,4,baseline,both,0.806698178708454,-40.681549259972584,5951.757572427247,11.703873149931464,0.006
3,2023-04-03 22:15:00,1985.43,bull,fvg,1987.969250869905,1982.8907491300952,1.2696254349525,0,-1.0,55.79077114870324,25.34714783807653,0.7589960689446629,0.0003790422734822943,22,0,0.026449254757608856,0.008935123020171347,off,0,False,bull,1,0.913655293967453,0,0,0.6399730845850152,-1.2885861922042088,low,1,0.27483347813495557,0.7251665218650444,0.913655293967453,1.0554293913070913,2023-04-04 03:50:00,335.0,0.8333576141144,0.7,4,baseline,both,0.8333576141144,-29.169674725513655,5922.587897701734,9.924186813784132,0.0042
4,2023-04-04 06:50:00,1978.75,bull,fvg,1980.3302387473104,1977.1697612526896,0.7901193736551966,1,1.0,36.688974421945275,19.141247837152672,0.8573469873779471,0.00026724882643465144,6,1,0.02299575550466068,0.012269571164011884,off,0,False,bull,1,1.126412070979658,0,0,0.8959039640090377,-0.863587769088494,normal,0,0.34187662901824384,0.6581233709817562,1.126412070979658,1.506101533107532,2023-04-04 07:30:00,40.0,0.7163480442706741,0.7,4,baseline,both,0.7163480442706741,26.88745290892986,5949.475350610664,22.781367727675356,0.006
5,2023-04-04 13:00:00,1981.43,bull,fvg,1983.7260012884574,1979.1339987115427,1.1480006442286725,1,1.0,45.05664922065971,12.17862147879185,0.8177943526904635,0.00034743621081178097,13,1,0.02438129113308901,0.010931798555405183,new_york,3,True,bull,1,1.2891978828064263,0,0,1.0746198969901795,-1.194102179105119,normal,0,0.2855487981465399,0.7144512018534601,1.2891978828064263,1.4634138129154404,2023-04-04 13:25:00,25.0,0.7487587595707188,0.7,4,baseline,both,0.7487587595707188,29.728226516076848,5979.20357712674,15.679433709807874,0.006
6,2023-04-04 16:00:00,1985.41,bull,fvg,1988.7730747776877,1982.0469252223124,1.6815373888437684,1,1.0,60.101021402092,16.05727832550429,1.3266132661326615,0.0005681206902823429,16,1,0.026438914939486267,0.019550617283950578,new_york,3,True,bull,1,1.0704489902766117,0,0,1.4010680565689924,1.8608574058771703,normal,0,0.046291193651493937,0.9537088063485061,1.0704489902766117,1.5640449135705987,2023-04-04 16:30:00,30.0,0.8510717177346333,0.7,4,baseline,both,0.8510717177346333,31.718204038894125,6010.9217811656345,10.704489902764696,0.006
7,2023-04-04 17:00:00,2003.59,bull,fvg,2008.8637668477859,1998.316233152214,2.6368834238929844,1,1.0,87.7727434943969,35.15049874107425,2.67811740776315,0.001358611276634982,17,1,0.03583780961292887,0.01057283950617288,new_york,3,True,bull,1,4.220891943553582,0,0,2.0102474738944887,4.701879985473437,normal,0,0.046291193651493937,0.9537088063485061,4.220891943553582,4.258815500997961,2023-04-04 17:05:00,5.0,0.9221919319275053,0.7,4,baseline,both,0.9221919319275053,33.26950386400843,6044.191285029643,6.826240339978916,0.006
8,2023-04-05 04:30:00,2020.43,bull,fvg,2022.1737220730352,2018.686277926965,0.8718610365175826,1,1.0,45.42111959500802,10.513802280960883,1.1062944338477543,0.00028994484830645117,4,2,0.0445439364721575,0.002424284317694735,off,0,False,bull,1,1.5140027420795472,0,0,0.6981577926285408,1.3474190247680435,low,1,0.021521906225977935,0.9784780937740221,1.5140027420795472,1.5140027420795472,2023-04-05 05:30:00,60.0,0.9449540186244395,0.7,4,baseline,both,0.9449540186244395,19.419262257513918,6063.610547287157,14.451844356215203,0.0042
9,2023-04-05 12:00:00,2022.75,bull,fvg,2025.404174752916,2020.095825247084,1.3270873764580906,1,1.0,34.33311801894237,14.011103793535558,1.1532834150959634,0.00041012263881479036,12,2,0.04420479887668297,0.004679519352838707,off,0,False,bull,1,0.9419123579761328,0,0,1.4754216747403184,1.4217008702734524,normal,0,0.007252470044146035,0.9927475299558539,0.9419123579761328,0.9720535534313417,2023-04-05 15:15:00,195.0,0.900612979698907,0.7,4,baseline,both,0.900612979698907,30.574584818057318,6094.1851321052145,13.563537954856699,0.006
