,entry_time,entry_price,bias,entry_type,tp,sl,atr,target,pnl_r,rsi,adx,vol_spike,rolling_vol,hour,dayofweek,dist_to_range_low,dist_to_range_high,prob,net_pnl,equity_after,units
0,2025-01-21 18:05:00,2739.32,bear,ob,2732.605183306958,2741.558272231014,2.2382722310139136,0,-1.0,68.24706461231463,40.33843604773144,0.9072978303747535,0.00044843694095651407,18,1,0.03674940012565205,0.00237086782502914,0.4852236872339094,-8.250964901052964,991.749035098947,3.1274122526324097
1,2025-01-21 19:20:00,2744.93,bear,ob,2737.9713509014987,2747.2495496995,2.3195496995003375,0,-1.0,64.73293793603818,37.7642565438769,0.7269653423499577,0.0005412175839417499,19,1,0.03887261469521843,0.0003277697453957787,0.7752769250275765,-8.207130849838268,983.5419042491088,3.017827124595671
2,2025-01-22 11:55:00,2758.41,bear,ob,2752.4581068173793,2760.3939643942067,1.983964394206793,0,-1.0,59.435363262338086,31.737473794291468,0.9227624470725654,0.0004106975825945433,11,2,0.042534213699085735,0.0013865558387395475,0.8229119396625145,-8.411315650712261,975.1305885983966,3.528289126780655
3,2025-01-22 13:00:00,2758.43,bear,ob,2752.4390144347303,2760.426995188423,1.996995188423183,1,3.0,48.67474141303078,23.01921498218386,0.8919883230619526,0.000492901093154505,13,2,0.04254177264944988,0.0018165698673759186,0.6636622696472809,19.59789346702889,994.7284820654255,3.505266332427775
4,2025-01-22 14:50:00,2757.52,bear,ob,2752.0040847080827,2759.358638430639,1.8386384306390593,0,-1.0,54.87724830872741,28.02081814229614,1.0507880910683012,0.00035006835148507735,14,2,0.042197840407881,0.002145868389151183,0.6207429151473612,-8.522866025935695,986.2056160394898,3.807165064839238
5,2025-01-22 18:35:00,2760.04,bear,ob,2753.4995744431912,2762.2201418522695,2.1801418522696463,1,3.0,61.32910127692057,10.52888100680542,0.9296148738379814,0.00047361572516515144,18,2,0.041713215978743313,0.001233964790388773,0.530818137993058,19.715679900789418,1005.9212959402792,3.2108002480264575
6,2025-02-13 18:40:00,2916.44,bear,ob,2909.564520466264,2918.7318265112453,2.2918265112452616,0,-1.0,47.62467591857456,11.897816318363445,0.8922112370388233,0.000503445365831848,18,3,0.052042262920383664,0.00888336086019747,0.49923111666527237,-8.221732965502083,997.6995629747771,3.054332413755206
7,2025-02-13 19:40:00,2916.34,bear,ob,2910.4860159383807,2918.29132802054,1.9513280205398436,0,-1.0,50.133691624449504,12.014199798436021,0.9218268422527319,0.00040676519277551654,19,3,0.05200619009656698,0.008917344643136222,0.5514408784345062,-8.434920203331886,989.2646427714452,3.5873005083297156
8,2025-04-01 08:40:00,3145.33,bear,ob,3139.065418534626,3147.418193821791,2.088193821791237,1,3.0,53.6597258629319,19.68189543985331,1.3798636181307662,0.00041288800228546374,8,1,0.09202988619082988,0.001178136829001866,0.5144923897683665,19.659128299882553,1008.9237710713278,3.3521792502936147
9,2025-05-09 17:10:00,3321.81,bear,ob,3309.948139366781,3325.7639535444064,3.9539535444062395,0,-1.0,32.060015415989454,25.316587347898963,1.1197675954047275,0.0007200321766121423,17,4,0.1014762350038795,0.033753654173393245,0.49254941847958184,-7.708151972084016,1001.2156190992438,1.7703799302100405
10,2025-05-09 18:45:00,3342.04,bear,ob,3330.207206757734,3345.9842644140886,3.944264414088567,0,-1.0,59.50364824188042,25.940287554446893,0.9082556765979788,0.0008016503746824383,18,4,0.1081842839994959,0.027869162412554344,0.8101972586239727,-7.7098915554440595,993.5057275437997,1.7747288886101467
11,2025-05-09 19:45:00,3341.1,bear,ob,3330.5442968022553,3344.6185677325816,3.518567732581541,1,3.0,51.389465328480135,20.192203239917458,0.9256294571386988,0.0006304694906841774,19,4,0.10787259017567584,0.028142589118198873,0.9003720361801385,20.204221656990654,1013.7099492007903,1.9894458575233605
12,2025-05-09 20:45:00,3341.01,bear,ob,3332.4647384544132,3343.858420515196,2.8484205151955906,1,3.0,52.72309547701305,12.949731735299267,0.850928718844261,0.0005994815857998109,20,4,0.10784274714999105,0.028168768270866878,0.8860235474960088,20.016999075430576,1033.7269482762208,2.4575023114235615
13,2025-07-09 05:55:00,3288.4,bull,ob,3297.569152123724,3285.3436159587586,3.0563840412413765,0,-1.0,25.645978480083016,35.75439626582785,1.153716784392869,0.0006556168463100051,5,2,0.001047196921728135,0.0459556690263433,0.5900851405823527,-7.916115240172067,1025.8108330360487,2.2902881004301645
14,2025-07-09 09:20:00,3287.19,bull,ob,3294.2230581565364,3284.8456472811545,2.344352718845467,1,3.0,34.30578080032873,29.83609282283778,1.1727941176470589,0.00047777956758704703,9,2,0.0013464239042028754,0.046306719275850096,0.5690455605114639,19.80564047487752,1045.6164735109262,2.9858988128061923
15,2025-07-09 15:00:00,3287.3,bull,ob,3293.478567896404,3285.2404773678654,2.05952263213468,1,3.0,42.95561555950073,28.39507171767129,1.396219352423732,0.00044667159009921276,15,2,0.0013799321914115823,0.04627480561680399,0.5613622116685787,19.640461650524465,1065.2569351614507,3.398845873688839
